OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 34 | Minha Posição: (32.1542,526.6,0) |  |  |  | Velocidade: 2.0542 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (466.462,526.6,0) |  |  |  | Velocidade: 15.4362 | Aceleração: 13.382 m/s²
Meu ID: 22 | Minha Posição: (291.055,526.6,0) |  |  |  | Velocidade: 14.4366 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (155.305,526.6,0) |  |  |  | Velocidade: 13.4156 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (35.9389,526.6,0) |  |  |  | Velocidade: 3.78465 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (481.391,526.6,0) |  |  |  | Velocidade: 14.9292 | Aceleração: 11.1445 m/s²
Meu ID: 22 | Minha Posição: (304.54,526.6,0) |  |  |  | Velocidade: 13.4856 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (169.003,526.6,0) |  |  |  | Velocidade: 13.6977 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (41.5252,526.6,0) |  |  |  | Velocidade: 5.58633 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (496.037,526.6,0) |  |  |  | Velocidade: 14.6461 | Aceleração: 9.05981 m/s²
Meu ID: 22 | Minha Posição: (317.821,526.6,0) |  |  |  | Velocidade: 13.2811 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (182.412,526.6,0) |  |  |  | Velocidade: 13.4091 | Aceleração: inf m/s²
